Year,Seattle,King County ,Washington State,United States
01/31/2005 12:00:00 AM,4.2%,4.9%,6.4%,5.7%
02/28/2005 12:00:00 AM,4.6%,5.3%,6.6%,5.8%
03/31/2005 12:00:00 AM,4.5%,4.9%,6%,5.4%
04/30/2005 12:00:00 AM,3.8%,4.3%,5.5%,4.9%
05/31/2005 12:00:00 AM,4.3%,4.8%,5.4%,4.9%
06/30/2005 12:00:00 AM,4.7%,4.9%,5.5%,5.2%
07/31/2005 12:00:00 AM,4.6%,4.5%,5.2%,5.2%
08/31/2005 12:00:00 AM,4.2%,4.4%,5.2%,4.9%
09/30/2005 12:00:00 AM,4.4%,4.8%,5.1%,4.8%
10/31/2005 12:00:00 AM,4.1%,4.6%,4.9%,4.6%
11/30/2005 12:00:00 AM,4.2%,4.7%,5.4%,4.8%
12/31/2005 12:00:00 AM,3.5%,4.3%,5.1%,4.6%
01/31/2006 12:00:00 AM,3.4%,4.3%,5.5%,5.1%
02/28/2006 12:00:00 AM,3.7%,4.5%,5.7%,5.1%
03/31/2006 12:00:00 AM,3.6%,4.2%,5.2%,4.8%
04/30/2006 12:00:00 AM,3.1%,3.8%,4.8%,4.5%
05/31/2006 12:00:00 AM,3.7%,4.2%,4.9%,4.4%
06/30/2006 12:00:00 AM,4%,4.3%,4.9%,4.8%
07/31/2006 12:00:00 AM,4%,4.2%,4.9%,5%
08/31/2006 12:00:00 AM,3.7%,4%,4.9%,4.6%
09/30/2006 12:00:00 AM,3.8%,4.2%,4.6%,4.4%
10/31/2006 12:00:00 AM,3.5%,4%,4.3%,4.1%
11/30/2006 12:00:00 AM,3.7%,4.3%,4.9%,4.3%
12/31/2006 12:00:00 AM,3.2%,4%,4.8%,4.3%
01/31/2007 12:00:00 AM,3.4%,4.2%,5.5%,5%
02/28/2007 12:00:00 AM,3.5%,4.1%,5.3%,4.9%
03/31/2007 12:00:00 AM,3.3%,3.7%,4.8%,4.5%
04/30/2007 12:00:00 AM,2.4%,3.3%,4.2%,4.3%
05/31/2007 12:00:00 AM,2.9%,3.5%,4.2%,4.3%
06/30/2007 12:00:00 AM,3.4%,3.7%,4.4%,4.7%
07/31/2007 12:00:00 AM,3.3%,3.6%,4.5%,4.9%
08/31/2007 12:00:00 AM,3%,3.4%,4.3%,4.6%
09/30/2007 12:00:00 AM,3.2%,3.6%,4.2%,4.5%
10/31/2007 12:00:00 AM,3%,3.5%,4.1%,4.4%
11/30/2007 12:00:00 AM,2.9%,3.5%,4.5%,4.5%
12/31/2007 12:00:00 AM,2.7%,3.5%,4.7%,4.8%
01/31/2008 12:00:00 AM,2.8%,3.7%,5.2%,5.4%
02/29/2008 12:00:00 AM,2.9%,3.8%,5.3%,5.2%
03/31/2008 12:00:00 AM,3%,3.7%,5.2%,5.2%
04/30/2008 12:00:00 AM,2.5%,3.3%,4.5%,4.8%
05/31/2008 12:00:00 AM,3.2%,3.9%,5%,5.2%
06/30/2008 12:00:00 AM,3.9%,4.4%,5.2%,5.7%
07/31/2008 12:00:00 AM,4%,4.5%,5.2%,6%
08/31/2008 12:00:00 AM,4%,4.5%,5.5%,6.1%
09/30/2008 12:00:00 AM,4%,4.7%,5.1%,6%
10/31/2008 12:00:00 AM,4.2%,5.1%,5.5%,6.1%
11/30/2008 12:00:00 AM,4.5%,5.5%,6.2%,6.5%
12/31/2008 12:00:00 AM,4.5%,5.9%,7%,7.1%
01/31/2009 12:00:00 AM,5.4%,6.9%,8.4%,8.5%
02/28/2009 12:00:00 AM,6.1%,7.8%,9.2%,8.9%
03/31/2009 12:00:00 AM,6.4%,8.1%,9.5%,9%
04/30/2009 12:00:00 AM,6.2%,7.6%,8.9%,8.6%
05/31/2009 12:00:00 AM,7.1%,8.3%,9.3%,9.1%
06/30/2009 12:00:00 AM,8.1%,9.3%,9.6%,9.7%
07/31/2009 12:00:00 AM,8.2%,9.2%,9.3%,9.7%
08/31/2009 12:00:00 AM,8.4%,9%,9.5%,9.6%
09/30/2009 12:00:00 AM,8.7%,9.2%,9.3%,9.5%
10/31/2009 12:00:00 AM,8.5%,9.3%,9.3%,9.5%
11/30/2009 12:00:00 AM,8.3%,9%,9.6%,9.4%
12/31/2009 12:00:00 AM,8.2%,9.1%,10.3%,9.7%
01/31/2010 12:00:00 AM,8.5%,9.6%,11.3%,10.6%
02/28/2010 12:00:00 AM,8.4%,9.5%,11.2%,10.4%
03/31/2010 12:00:00 AM,8.3%,9.2%,10.9%,10.2%
04/30/2010 12:00:00 AM,7.6%,8.5%,10%,9.5%
05/31/2010 12:00:00 AM,7.7%,8.6%,9.9%,9.3%
