Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy,Period End,Property Type,Region
0.941553961,-1.3%,0.6%,13,30.0%,44.4%,14,0.0%,-46.2%,81,5,-17,$424K,-17.9%,-10.2%,15,36.4%,25.0%,2/29/2012,Single Family Residential,"Seattle, WA - Alki Point"
0.978395078,-0.4%,0.6%,14,-12.5%,-30.0%,23,-8.0%,-28.1%,100.5,47,65.5,$241K,-3.8%,-18.4%,22,29.4%,-29.0%,2/29/2012,Single Family Residential,"Seattle, WA - Arbor Heights"
0.980834459,-0.7%,1.6%,53,0.0%,-14.5%,20,-37.5%,-59.2%,43,6.5,-8,$387K,2.4%,-5.4%,51,37.8%,-20.3%,2/29/2012,Single Family Residential,"Seattle, WA - Ballard"
0.954575312,-1.1%,-0.8%,10,42.9%,42.9%,7,0.0%,16.7%,62.5,-43.5,54,$256K,-1.4%,-16.0%,9,28.6%,50.0%,2/29/2012,Single Family Residential,"Seattle, WA - Bitter Lake"
0.952590782,-0.5%,-2.3%,17,-22.7%,-10.5%,24,0.0%,41.2%,50,11,4,$440K,-0.6%,-6.4%,13,62.5%,-13.3%,2/29/2012,Single Family Residential,"Seattle, WA - North Beach / Blue Ridge"
0.974824385,-0.2%,8.4%,23,9.5%,64.3%,15,-11.8%,-34.8%,73,34,-14.5,$413K,-2.8%,6.3%,19,26.7%,26.7%,2/29/2012,Single Family Residential,"Seattle, WA - Broadview"
0.979498710,0.8%,-1.2%,9,-18.2%,125.0%,4,-50.0%,-60.0%,17,-15,0,$423K,-0.6%,-16.7%,8,0.0%,-38.5%,2/29/2012,Single Family Residential,"Seattle, WA - Bryant"
1.003046638,-4.3%,5.0%,7,0.0%,16.7%,17,-10.5%,0.0%,48,-25,-100,$285K,-1.7%,-2.1%,13,-18.8%,30.0%,2/29/2012,Single Family Residential,"Seattle, WA - Columbia City"
0.978526237,-1.3%,-0.5%,12,-40.0%,20.0%,7,-22.2%,-41.7%,48,0,-3.5,$400K,9.6%,24.5%,9,-25.0%,-10.0%,2/29/2012,Single Family Residential,"Seattle, WA - Crown Hill"
0.982290996,-0.1%,2.1%,58,-14.7%,45.0%,75,-7.4%,-31.2%,75,15,-19,$196K,-9.7%,-27.6%,58,7.4%,-17.1%,2/29/2012,Single Family Residential,"Seattle, WA - Delridge"
0.934113060,,-2.6%,2,,0.0%,1,,0.0%,86.5,,-97.5,$540K,,15.0%,1,,,2/29/2012,Single Family Residential,"Seattle, WA - Eastlake"
0.967998638,-0.2%,1.5%,12,9.1%,-20.0%,12,-7.7%,-42.9%,35.5,19.5,-46.5,$340K,3.0%,-14.8%,13,-13.3%,-23.5%,2/29/2012,Single Family Residential,"Seattle, WA - Fauntleroy"
0.968092114,-0.7%,-1.7%,15,25.0%,114.3%,6,50.0%,-14.3%,32,0,12,$435K,-10.8%,10.7%,11,-26.7%,37.5%,2/29/2012,Single Family Residential,"Seattle, WA - Fremont"
0.970532446,0.9%,-2.6%,10,-9.1%,-9.1%,6,0.0%,-50.0%,47.5,-5.5,11.5,$426K,-23.2%,-7.3%,9,80.0%,-25.0%,2/29/2012,Single Family Residential,"Seattle, WA - Green Lake"
0.996805302,2.0%,3.2%,22,-4.3%,-21.4%,20,-23.1%,-35.5%,45,4,-4.5,$383K,1.0%,4.8%,32,6.7%,0.0%,2/29/2012,Single Family Residential,"Seattle, WA - Greenwood"
0.967354750,-0.5%,0.2%,14,-17.6%,55.6%,16,33.3%,-36.0%,71.5,8.5,51.5,$290K,-11.3%,-4.8%,12,71.4%,-36.8%,2/29/2012,Single Family Residential,"Seattle, WA - Haller Lake"
0.964761841,-0.5%,0.3%,46,-4.2%,2.2%,47,0.0%,-30.9%,60.5,0,-24.5,$318K,-0.8%,-0.8%,40,-2.4%,-21.6%,2/29/2012,Single Family Residential,"Seattle, WA - Lake City"
0.954605960,1.2%,1.3%,12,9.1%,-14.3%,25,0.0%,-13.8%,92.5,17.5,-55.5,$582K,-7.0%,36.8%,21,40.0%,16.7%,2/29/2012,Single Family Residential,"Seattle, WA - Leschi"
0.994736842,0.0%,9.1%,1,0.0%,-66.7%,3,-25.0%,50.0%,4,0,-156,$945K,0.0%,59.3%,2,-33.3%,-33.3%,2/29/2012,Single Family Residential,"Seattle, WA - Lower Queen Anne"
0.901450424,-2.5%,-3.4%,14,-12.5%,7.7%,23,4.5%,-36.1%,128,-41.5,-21.5,"$1,161K",-8.0%,-7.8%,18,12.5%,100.0%,2/29/2012,Single Family Residential,"Seattle, WA - Madison Park"
0.969340846,0.1%,-0.4%,14,16.7%,75.0%,15,-16.7%,-40.0%,76,0,47,$578K,-7.8%,24.9%,10,0.0%,-37.5%,2/29/2012,Single Family Residential,"Seattle, WA - Madrona"
0.971169893,0.6%,3.7%,51,-5.6%,24.4%,52,10.6%,-18.8%,47,-2,-45,$475K,4.8%,-22.9%,51,6.3%,4.1%,2/29/2012,Single Family Residential,"Seattle, WA - Magnolia"
0.985185093,0.3%,3.2%,16,0.0%,6.7%,17,6.3%,-15.0%,27,9,-15,$401K,-2.8%,-4.0%,23,21.1%,21.1%,2/29/2012,Single Family Residential,"Seattle, WA - Maple Leaf"
0.974954683,0.6%,1.7%,15,25.0%,-16.7%,15,7.1%,-31.8%,75,21.5,-24,$348K,-0.1%,-13.5%,16,14.3%,-15.8%,2/29/2012,Single Family Residential,"Seattle, WA - Matthews Beach"
0.980530042,0.9%,1.9%,3,-25.0%,-40.0%,1,-50.0%,-87.5%,18,6,-154,$328K,-4.0%,9.3%,2,-33.3%,-60.0%,2/29/2012,Single Family Residential,"Seattle, WA - Meadowbrook"
0.987381213,-0.2%,3.4%,8,-11.1%,-11.1%,14,16.7%,-12.5%,55,10,-168,$681K,4.4%,18.2%,11,37.5%,-15.4%,2/29/2012,Single Family Residential,"Seattle, WA - Montlake"
0.953258454,-0.5%,-5.1%,17,6.3%,88.9%,20,-4.8%,-28.6%,73,-1,44,$423K,5.8%,-10.0%,15,15.4%,-21.1%,2/29/2012,Single Family Residential,"Seattle, WA - Mount Baker"
0.972714958,-1.4%,2.0%,18,-30.8%,0.0%,33,0.0%,-34.0%,79,39,40,$481K,-3.4%,19.6%,24,26.3%,-42.9%,2/29/2012,Single Family Residential,"Seattle, WA - North Admiral"
0.968197813,-0.8%,0.4%,50,-9.1%,8.7%,74,8.8%,-29.5%,61,12,-21,$245K,4.0%,-3.7%,66,32.0%,3.1%,2/29/2012,Single Family Residential,"Seattle, WA - Beacon Hill"
0.976806278,0.2%,1.6%,42,-4.5%,16.7%,43,10.3%,-33.8%,49,2,-27.5,$350K,-8.7%,8.5%,50,22.0%,4.2%,2/29/2012,Single Family Residential,"Seattle, WA - Northgate"
0.962077797,-0.8%,1.9%,9,-18.2%,-10.0%,11,22.2%,-8.3%,69,0,9,$225K,-6.2%,-8.5%,7,40.0%,40.0%,2/29/2012,Single Family Residential,"Seattle, WA - Olympic Hills"
0.948561697,-0.4%,-2.1%,6,-14.3%,50.0%,3,0.0%,-57.1%,125,30,41.5,$380K,-10.6%,40.7%,4,100.0%,-20.0%,2/29/2012,Single Family Residential,"Seattle, WA - Pinehurst"
0.969019318,-0.4%,-0.4%,34,-10.5%,25.9%,40,5.3%,-31.0%,67,16,9,$600K,0.1%,-0.2%,45,50.0%,18.4%,2/29/2012,Single Family Residential,"Seattle, WA - Queen Anne"
0.960256929,-0.9%,-1.9%,94,-3.1%,44.6%,166,-2.4%,-14.4%,63,0,-34,$232K,0.8%,-11.8%,128,5.8%,8.5%,2/29/2012,Single Family Residential,"Seattle, WA - Rainier Valley"
0.988110773,0.7%,1.9%,27,-25.0%,58.8%,11,10.0%,-35.3%,13,-4,-44,$452K,-2.2%,-4.8%,20,5.3%,25.0%,2/29/2012,Single Family Residential,"Seattle, WA - Ravenna"
0.992057132,0.5%,-0.8%,10,11.1%,-9.1%,9,12.5%,-50.0%,17.5,-19.5,4.5,$453K,3.5%,12.4%,20,11.1%,11.1%,2/29/2012,Single Family Residential,"Seattle, WA - Roosevelt"
1.010677992,0.6%,2.3%,5,-58.3%,25.0%,9,-25.0%,-59.1%,52,-10,-13.5,$145K,-2.2%,-47.3%,8,-20.0%,33.3%,2/29/2012,Single Family Residential,"Seattle, WA - South Park"
0.973386173,-3.8%,4.4%,6,50.0%,-25.0%,6,20.0%,20.0%,38,32.5,-28,$331K,1.5%,-16.7%,4,33.3%,100.0%,2/29/2012,Single Family Residential,"Seattle, WA - University District"
0.977667033,-0.8%,-0.1%,8,-11.1%,0.0%,9,-10.0%,12.5%,27.5,-6.5,-62,$324K,8.8%,2.8%,8,-20.0%,0.0%,2/29/2012,Single Family Residential,"Seattle, WA - Victory Heights"
0.952981156,0.1%,-1.6%,6,20.0%,-40.0%,6,-25.0%,-40.0%,58,-38,6.5,$718K,8.7%,1.4%,9,0.0%,125.0%,2/29/2012,Single Family Residential,"Seattle, WA - View Ridge"
0.982157933,0.5%,0.1%,20,0.0%,-4.8%,16,-15.8%,-30.4%,16.5,-35,-99.5,$482K,2.1%,-12.4%,27,35.0%,-12.9%,2/29/2012,Single Family Residential,"Seattle, WA - Wallingford"
0.975244436,-0.3%,-0.2%,16,-20.0%,23.1%,5,-44.4%,-79.2%,29.5,3,-57.5,$363K,-10.5%,-9.4%,10,-9.1%,-63.0%,2/29/2012,Single Family Residential,"Seattle, WA - Wedgwood"
0.973390996,-0.6%,0.8%,183,-9.9%,24.5%,217,-5.7%,-35.0%,63,11,2.5,$315K,7.6%,-6.0%,191,10.4%,-20.7%,2/29/2012,Single Family Residential,"Seattle, WA - West Seattle"
0.971010632,-0.4%,3.3%,9,12.5%,-50.0%,11,37.5%,-26.7%,85,66,13,"$1,075K",18.6%,43.6%,9,28.6%,-10.0%,2/29/2012,Single Family Residential,"Seattle, WA - Windermere"
1.022727273,6.0%,10.2%,1,-50.0%,-88.9%,5,-28.6%,-50.0%,50,9,-40,"$1,125K",1.5%,34.6%,4,-20.0%,0.0%,2/29/2012,Single Family Residential,"Seattle, WA - Denny Blaine"
0.996969788,-0.1%,1.5%,12,0.0%,-40.0%,12,0.0%,9.1%,25,7.5,-41,$493K,14.7%,-1.0%,17,13.3%,-19.0%,2/29/2012,Single Family Residential,"Seattle, WA - Phinney Ridge"
0.922038230,-1.5%,-4.2%,15,-21.1%,-11.8%,7,-30.0%,-56.3%,90.5,25.5,39.5,$310K,-11.4%,-15.8%,9,-18.2%,-25.0%,2/29/2012,Single Family Residential,"Seattle, WA - Central District"
0.977953635,-0.5%,1.1%,10,25.0%,66.7%,11,37.5%,-31.3%,79.5,-40,0.5,$475K,-11.1%,11.0%,8,100.0%,-42.9%,2/29/2012,Single Family Residential,"Seattle, WA - Madison Valley"
0.977339870,0.1%,2.9%,16,6.7%,0.0%,18,-10.0%,5.9%,65,-4,-12,$843K,9.4%,23.9%,18,12.5%,80.0%,2/29/2012,Single Family Residential,"Seattle, WA - Capitol Hill"
0.993066342,0.3%,1.4%,9,-25.0%,0.0%,16,14.3%,-33.3%,59,18,-25,$225K,15.1%,2.3%,15,114.3%,36.4%,2/29/2012,Single Family Residential,"Seattle, WA - South Beacon Hill"
0.949956078,-3.1%,0.4%,4,0.0%,0.0%,4,0.0%,-63.6%,76.5,35.5,12,$228K,12.6%,-8.1%,2,0.0%,-50.0%,2/29/2012,Single Family Residential,"Seattle, WA - Greater Duwamish"
1.004760917,1.1%,3.5%,6,50.0%,-14.3%,6,-14.3%,-45.5%,9,-5.5,-81,$288K,9.5%,-11.5%,10,-23.1%,100.0%,2/29/2012,Single Family Residential,"Seattle, WA - North College Park"
0.975206343,-1.2%,-4.0%,14,27.3%,100.0%,19,-5.0%,5.6%,54,32,35,$180K,2.8%,-30.8%,10,-28.6%,-28.6%,2/29/2012,Single Family Residential,"Seattle, WA - Dunlap"
0.917827852,0.6%,-3.5%,9,-10.0%,-25.0%,3,50.0%,-72.7%,103,52,22.5,$350K,-3.4%,-6.7%,4,-33.3%,-20.0%,2/29/2012,Single Family Residential,"Seattle, WA - Minor"
0.953492941,0.5%,0.0%,52,0.0%,-10.3%,62,-19.5%,-43.6%,86,17,1.5,$439K,-4.4%,-1.8%,53,3.9%,-14.5%,2/29/2012,Single Family Residential,"Seattle, WA - Central Seattle"
1.001392454,-2.1%,1.4%,5,25.0%,66.7%,7,0.0%,-22.2%,88,-17,74,$332K,67.1%,2.2%,3,-25.0%,-57.1%,2/29/2012,Single Family Residential,"Seattle, WA - Holly Park"
0.939372535,-2.1%,-6.4%,11,-8.3%,266.7%,11,-15.4%,-26.7%,80,-13.5,74,$320K,-9.9%,-41.8%,7,-30.0%,-36.4%,2/29/2012,Single Family Residential,"Seattle, WA - Cedar Heights"
0.947703714,-0.4%,-4.1%,13,8.3%,160.0%,7,-22.2%,-22.2%,54,-7.5,43,$289K,-1.9%,-18.6%,5,-28.6%,0.0%,2/29/2012,Single Family Residential,"Seattle, WA - Fairmount Park"
0.992564323,0.4%,0.5%,7,75.0%,0.0%,6,-50.0%,-73.9%,86,44.5,54,$350K,15.7%,21.1%,7,-22.2%,-30.0%,2/29/2012,Single Family Residential,"Seattle, WA - Atlantic"
0.980073049,0.7%,0.4%,17,-5.6%,30.8%,5,66.7%,-79.2%,62,7,44,$378K,-0.3%,12.8%,4,-20.0%,-82.6%,2/29/2012,Single Family Residential,"Seattle, WA - Genesee"
0.977625657,-0.6%,-1.9%,14,27.3%,100.0%,9,28.6%,-52.6%,24,-17,-19,$434K,-20.4%,14.5%,17,41.7%,41.7%,2/29/2012,Single Family Residential,"Seattle, WA - Seaview"
0.953437696,-3.5%,-2.1%,2,0.0%,-33.3%,2,0.0%,-33.3%,209.5,89.5,162.5,$727K,6.9%,13.9%,3,200.0%,0.0%,2/29/2012,Single Family Residential,"Seattle, WA - Portage Bay"
0.936531176,-2.8%,-3.8%,8,-11.1%,0.0%,8,-33.3%,33.3%,76.5,-2.5,25.5,$295K,-1.5%,-25.3%,6,0.0%,-40.0%,2/29/2012,Single Family Residential,"Seattle, WA - Mann"
0.929928743,-4.1%,-4.6%,10,-23.1%,25.0%,20,5.3%,-16.7%,61.5,-3.5,-50.5,$213K,-9.5%,-17.1%,22,29.4%,46.7%,2/29/2012,Single Family Residential,"Seattle, WA - Brighton"
0.954346831,-0.9%,-1.3%,25,-7.4%,13.6%,47,6.8%,-16.1%,48,0,-34,$235K,-6.0%,-4.1%,37,12.1%,19.4%,2/29/2012,Single Family Residential,"Seattle, WA - Mid-Beacon Hill"
0.976520925,1.0%,2.2%,17,13.3%,54.5%,17,0.0%,-19.0%,68.5,-16.5,9.5,$635K,0.0%,-24.0%,19,46.2%,26.7%,2/29/2012,Single Family Residential,"Seattle, WA - Stevens"
0.970813208,-1.2%,-1.1%,17,-5.6%,30.8%,21,-16.0%,16.7%,66,12.5,-24,$410K,11.0%,3.5%,19,5.6%,5.6%,2/29/2012,Single Family Residential,"Seattle, WA - Gatewood"
0.934113060,,-2.6%,2,,0.0%,2,,100.0%,86.5,,-97.5,$540K,,15.0%,1,,,2/29/2012,Single Family Residential,"Seattle, WA - Cascade"
0.959517059,1.0%,-1.8%,13,30.0%,225.0%,26,13.0%,23.8%,72,-11.5,55,$150K,-3.2%,-2.0%,18,-18.2%,28.6%,2/29/2012,Single Family Residential,"Seattle, WA - Rainier View"
0.958443303,1.7%,0.1%,11,-15.4%,-21.4%,19,35.7%,-17.4%,11,-70,-107,$425K,0.2%,-19.0%,20,33.3%,33.3%,3/31/2012,Single Family Residential,"Seattle, WA - Alki Point"
