new date,"Seattle, WA - Ballard","Seattle, WA - Capitol Hill","Seattle, WA - Northgate","Seattle, WA - Queen Anne","Seattle, WA - University District",Seattle_Avg,Unemployment
2012-01-31,378.0,770.0,383.0,600.0,326.0,426.94029850746267,6.6
2012-02-29,387.0,843.0,350.0,600.0,331.0,428.3188405797101,6.5
2012-03-31,438.0,800.0,350.0,634.0,584.0,468.8985507246377,6.2
2012-04-30,465.0,790.0,370.0,634.0,565.0,475.231884057971,5.5
2012-05-31,460.0,800.0,364.0,665.0,545.0,472.05797101449275,5.7
2012-06-30,450.0,865.0,366.0,673.0,544.0,473.3285714285714,6.3
2012-07-31,450.0,843.0,349.0,675.0,544.0,460.27941176470586,6.1
2012-08-31,450.0,843.0,359.0,665.0,506.0,480.15492957746477,5.7
2012-09-30,456.0,866.0,350.0,657.0,526.0,468.27142857142854,5.3
2012-10-31,450.0,983.0,350.0,600.0,427.0,504.6142857142857,5.2
2012-11-30,452.0,899.0,350.0,593.0,441.0,464.4927536231884,5.0
2012-12-31,451.0,884.0,359.0,584.0,427.0,469.40579710144925,4.7
2013-01-31,478.0,836.0,337.0,711.0,431.0,467.1449275362319,4.9
2013-02-28,467.0,858.0,338.0,705.0,438.0,481.536231884058,4.7
2013-03-31,505.0,857.0,350.0,695.0,565.0,483.9855072463768,4.4
2013-04-30,500.0,858.0,380.0,683.0,602.0,480.27941176470586,3.9
2013-05-31,518.0,870.0,380.0,715.0,575.0,519.6911764705883,4.0
2013-06-30,487.0,1053.0,384.0,713.0,580.0,556.2857142857143,4.7
2013-07-31,488.0,1018.0,407.0,725.0,580.0,558.5142857142857,4.6
2013-08-31,487.0,953.0,402.0,764.0,648.0,533.1142857142858,4.6
2013-09-30,490.0,837.0,411.0,749.0,635.0,527.3913043478261,4.4
2013-10-31,489.0,800.0,390.0,695.0,520.0,506.27536231884056,4.5
2013-11-30,475.0,1022.0,416.0,693.0,475.0,512.2173913043479,4.4
2013-12-31,488.0,1014.0,390.0,695.0,503.0,519.4571428571429,4.1
2014-01-31,474.0,1202.0,407.0,725.0,493.0,545.6811594202899,4.2
2014-02-28,530.0,1188.0,409.0,744.0,503.0,579.3943661971831,4.4
2014-03-31,555.0,1078.0,410.0,785.0,475.0,583.2463768115942,4.3
2014-04-30,570.0,967.0,418.0,833.0,574.0,599.5211267605633,3.7
2014-05-31,559.0,991.0,400.0,833.0,580.0,574.9855072463768,3.9
2014-06-30,559.0,1018.0,400.0,863.0,628.0,642.2112676056338,4.4
2014-07-31,551.0,1171.0,405.0,840.0,580.0,655.9859154929577,4.4
2014-08-31,552.0,1185.0,427.0,823.0,667.0,671.8169014084507,4.3
2014-09-30,555.0,1003.0,445.0,808.0,628.0,606.7971014492754,4.2
2014-10-31,555.0,950.0,433.0,778.0,599.0,587.5428571428571,4.0
2014-11-30,555.0,915.0,425.0,773.0,575.0,600.3714285714286,4.1
2014-12-31,550.0,996.0,418.0,763.0,555.0,604.0422535211268,3.8
2015-01-31,575.0,1050.0,440.0,770.0,570.0,621.1408450704225,4.3
2015-02-28,581.0,953.0,452.0,755.0,585.0,592.9142857142857,4.3
2015-03-31,603.0,1234.0,450.0,733.0,630.0,579.1,3.7
2015-04-30,595.0,1250.0,451.0,823.0,615.0,608.3857142857142,
2015-05-31,623.0,1258.0,448.0,858.0,645.0,633.1285714285714,
2015-06-30,620.0,1250.0,485.0,921.0,605.0,628.2638888888889,
2015-07-31,639.0,1175.0,460.0,925.0,649.0,651.1805555555555,
2015-08-31,626.0,1250.0,466.0,883.0,620.0,650.625,
2015-09-30,630.0,1264.0,462.0,798.0,648.0,688.2571428571429,
2015-10-31,637.0,1300.0,493.0,828.0,620.0,682.072463768116,
2015-11-30,599.0,1055.0,491.0,953.0,695.0,671.768115942029,
2015-12-31,625.0,1295.0,508.0,937.0,805.0,661.7101449275362,
2016-01-31,626.0,1392.0,505.0,930.0,736.0,665.7826086956521,
2016-02-29,655.0,1283.0,530.0,943.0,667.0,670.9142857142857,
2016-03-31,685.0,1254.0,554.0,979.0,563.0,684.1,
2016-04-30,709.0,1303.0,575.0,1100.0,1028.0,732.4492753623189,
2016-05-31,714.0,1286.0,555.0,1134.0,913.0,724.1323529411765,
2016-06-30,706.0,1316.0,573.0,1150.0,907.0,730.5285714285715,
2016-07-31,701.0,1258.0,558.0,1150.0,825.0,745.1,
2016-08-31,689.0,1231.0,543.0,1150.0,907.0,737.1142857142858,
2016-09-30,705.0,1202.0,523.0,1075.0,943.0,726.1940298507462,
2016-10-31,705.0,1265.0,540.0,1104.0,780.0,698.223880597015,
2016-11-30,700.0,1248.0,579.0,1049.0,757.0,695.768115942029,
2016-12-31,710.0,1141.0,585.0,972.0,734.0,695.2753623188406,
2017-01-31,718.0,1127.0,555.0,950.0,732.0,696.5507246376811,
2017-02-28,751.0,1350.0,574.0,972.0,765.0,712.8181818181819,
2017-03-31,767.0,1199.0,614.0,1200.0,827.0,787.8358208955224,
2017-04-30,801.0,1150.0,637.0,1175.0,970.0,801.2173913043479,
2017-05-31,781.0,1200.0,650.0,1009.0,895.0,831.4285714285714,
2017-06-30,800.0,1380.0,648.0,1000.0,888.0,832.8428571428572,
2017-07-31,804.0,1380.0,663.0,1000.0,840.0,825.7142857142857,
2017-08-31,812.0,1368.0,665.0,1005.0,866.0,833.0,
2017-09-30,773.0,1450.0,650.0,998.0,815.0,824.1285714285714,
